Kepler ID,RA (J2000),Dec (J2000)
9933464,18 48 05.126,+46 48 16.67
9991488,18 44 16.332,+46 58 28.85
10020291,19 41 01.234,+46 58 11.06
10065745,19 10 48.533,+47 04 42.53
10067340,19 14 04.490,+47 01 06.17
10081899,19 37 51.499,+47 02 43.58
10087130,19 45 04.831,+47 01 30.68
10129425,19 07 15.694,+47 11 17.66
10130646,19 09 43.085,+47 07 39.40
10146539,19 35 38.743,+47 08 32.46
10188460,18 49 28.366,+47 12 08.39
10224611,19 50 42.274,+47 13 17.40
10320656,18 49 23.117,+47 28 55.74
10329835,19 10 00.281,+47 28 09.37
10332883,19 16 17.335,+47 24 25.45
10336624,19 22 50.921,+47 29 15.72
10341831,19 30 57.341,+47 29 26.63
10388286,18 54 57.768,+47 30 58.64
10422607,19 52 02.945,+47 35 26.84
10489206,19 53 01.951,+47 36 17.78
10525027,19 09 23.215,+47 46 22.66
10612424,19 45 41.837,+47 48 41.22
10612448,19 45 43.726,+47 48 43.78
10618510,19 52 47.503,+47 49 42.10
10622511,19 57 16.397,+47 48 06.70
10647081,18 50 45.339,+47 58 18.88
10709619,18 45 16.819,+48 04 56.50
10801273,19 33 54.986,+48 08 14.71
10961247,18 53 55.730,+48 28 54.88
10990886,19 52 25.370,+48 24 04.14
11043244,19 49 39.511,+48 31 47.71
11081377,19 21 33.228,+48 36 51.84
11145819,19 42 32.904,+48 42 08.68
11187837,19 21 36.360,+48 49 21.32
11192235,19 31 04.786,+48 53 58.63
11196403,19 38 47.803,+48 51 30.82
11241109,19 20 46.109,+48 56 56.11
11395206,19 10 24.840,+49 12 16.27
11495571,19 00 18.713,+49 29 10.57
11521274,19 51 26.664,+49 24 52.78
11602234,19 07 42.274,+49 37 18.70
11612409,19 31 01.351,+49 40 44.22
11672056,19 46 48.998,+49 44 20.18
11674867,19 51 15.062,+49 45 04.18
11763820,19 28 56.688,+49 54 43.27
11852982,18 59 59.662,+50 08 48.44
11860280,19 18 34.944,+50 11 51.25
12111335,19 27 24.170,+50 38 38.29
12254596,19 17 14.414,+50 56 42.68
12254821,19 17 46.550,+50 55 44.72
12258055,19 25 19.308,+50 57 27.76
12314646,19 41 22.339,+51 04 27.34
12316635,19 44 48.065,+51 05 32.28
12356051,19 23 21.494,+51 07 05.30
12555642,19 19 21.294,+51 30 43.66

